STATEFP|DISTRICT|NAME|NAMELSAD
33|710|Rockingham County No. 10|State House District Rockingham County No. 10
33|711|Rockingham County No. 11|State House District Rockingham County No. 11
33|712|Rockingham County No. 12|State House District Rockingham County No. 12
33|713|Rockingham County No. 13|State House District Rockingham County No. 13
33|714|Rockingham County No. 14|State House District Rockingham County No. 14
33|715|Rockingham County No. 15|State House District Rockingham County No. 15
33|716|Rockingham County No. 16|State House District Rockingham County No. 16
33|717|Rockingham County No. 17|State House District Rockingham County No. 17
33|718|Rockingham County No. 18|State House District Rockingham County No. 18
33|719|Rockingham County No. 19|State House District Rockingham County No. 19
33|720|Rockingham County No. 20|State House District Rockingham County No. 20
33|721|Rockingham County No. 21|State House District Rockingham County No. 21
33|722|Rockingham County No. 22|State House District Rockingham County No. 22
33|723|Rockingham County No. 23|State House District Rockingham County No. 23
33|724|Rockingham County No. 24|State House District Rockingham County No. 24
33|725|Rockingham County No. 25|State House District Rockingham County No. 25
33|726|Rockingham County No. 26|State House District Rockingham County No. 26
33|727|Rockingham County No. 27|State House District Rockingham County No. 27
33|728|Rockingham County No. 28|State House District Rockingham County No. 28
33|729|Rockingham County No. 29|State House District Rockingham County No. 29
33|801|Strafford County No. 1|State House District Strafford County No. 1
33|802|Strafford County No. 2|State House District Strafford County No. 2
33|803|Strafford County No. 3|State House District Strafford County No. 3
33|804|Strafford County No. 4|State House District Strafford County No. 4
33|805|Strafford County No. 5|State House District Strafford County No. 5
33|806|Strafford County No. 6|State House District Strafford County No. 6
33|807|Strafford County No. 7|State House District Strafford County No. 7
33|808|Strafford County No. 8|State House District Strafford County No. 8
33|809|Strafford County No. 9|State House District Strafford County No. 9
33|810|Strafford County No. 10|State House District Strafford County No. 10
33|811|Strafford County No. 11|State House District Strafford County No. 11
33|812|Strafford County No. 12|State House District Strafford County No. 12
33|813|Strafford County No. 13|State House District Strafford County No. 13
33|814|Strafford County No. 14|State House District Strafford County No. 14
33|815|Strafford County No. 15|State House District Strafford County No. 15
33|816|Strafford County No. 16|State House District Strafford County No. 16
33|817|Strafford County No. 17|State House District Strafford County No. 17
33|818|Strafford County No. 18|State House District Strafford County No. 18
33|901|Sullivan County No. 1|State House District Sullivan County No. 1
33|902|Sullivan County No. 2|State House District Sullivan County No. 2
33|903|Sullivan County No. 3|State House District Sullivan County No. 3
33|904|Sullivan County No. 4|State House District Sullivan County No. 4
33|905|Sullivan County No. 5|State House District Sullivan County No. 5
33|906|Sullivan County No. 6|State House District Sullivan County No. 6
33|907|Sullivan County No. 7|State House District Sullivan County No. 7
33|908|Sullivan County No. 8|State House District Sullivan County No. 8
